unitid,institution_name,alias_name,city,county_name,state,zip_code,control_code,control_label,sector_code,iclevel_code,iclevel_label,locale_code,locale_label,web_address,admissions_url,financial_aid_url,net_price_url,application_url,opeid_raw,opeid8,opeid6,source_year,source_table,source_url,seo_slug,seo_focus_keyword,seo_secondary_keyword,seo_title_vi,seo_h1_vi,seo_meta_description_vi,seo_content_cluster,seo_search_intent
485500,ABCO Technology,,Inglewood,Los Angeles County,CA,90304-1551,3,Private for-profit,6,2,2-year,21,Suburb: Large,www.abcotechnology.edu/,www.abcotechnology.edu/admissions,www.abcotechnology.edu/financial-aid,www.abcotechnology.edu/disclosures/NPC,www.abcotechnology.edu/apply-online,04242600,04242600,042426,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,abco-technology-inglewood-california,review ABCO Technology california,hoc phi ABCO Technology 2026,"ABCO Technology review 2026: hoc phi, dieu kien, OPEID",Review ABCO Technology o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho ABCO Technology tai Inglewood, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
488031,Abraham Lincoln University,,Glendale,Los Angeles County,CA,91210,3,Private for-profit,3,1,4-year,12,City: Midsize,https://www.alu.edu/,https://www.alu.edu/,https://www.alu.edu/alu-admissions/federal-financial-aid/,https://www.alu.edu/npcalc/index.html,https://www.alu.edu/apply/,04243800,04243800,042438,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,abraham-lincoln-university-glendale-california,review Abraham Lincoln University california,hoc phi Abraham Lincoln University 2026,"Abraham Lincoln University review 2026: hoc phi, dieu kien, OPEID",Review Abraham Lincoln University o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Abraham Lincoln University tai Glendale, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
457271,Academy for Jewish Religion California,,Los Angeles,Los Angeles County,CA,90045,2,Private nonprofit,2,1,4-year,11,City: Large,www.ajrca.edu/,www.ajrca.edu/admissions,ajrca.edu/financial aid/,ajrca.edu/net price calculator,ajrca.edu/admissions/next-steps/,04155500,04155500,041555,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,academy-for-jewish-religion-california-los-angeles-california,review Academy for Jewish Religion California california,hoc phi Academy for Jewish Religion California 2026,"Academy for Jewish Religion California review 2026: hoc phi, dieu kien, OPEID",Review Academy for Jewish Religion California o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Academy for Jewish Religion California tai Los Angeles, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
108232,Academy of Art University,,San Francisco,San Francisco County,CA,94105,3,Private for-profit,3,1,4-year,11,City: Large,www.academyart.edu/,www.academyart.edu/admissions,www.academyart.edu/finances/financial-aid-office,https://npc.collegeboard.org/student/app/academyart,www.academyart.edu/apply-for-admission/,00753100,00753100,007531,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,academy-of-art-university-san-francisco-california,review Academy of Art University california,hoc phi Academy of Art University 2026,"Academy of Art University review 2026: hoc phi, dieu kien, OPEID",Review Academy of Art University o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Academy of Art University tai San Francisco, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
108269,Academy of Chinese Culture and Health Sciences,ACCHS,Oakland,Alameda County,CA,94612,2,Private nonprofit,2,1,4-year,11,City: Large,www.acchs.edu/,www.acchs.edu/prospective-students/admissions/,www.acchs.edu/prospective-students/costs-fa/,www.acchs.edu/npcalc.htm,https://acchs.empower-xl.com/forms/gen_cf/inq_app_exec_screen.cfm?scor_id=%2523%2528P%252FZ%250A,03288300,03288300,032883,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,academy-of-chinese-culture-and-health-sciences-oakland-california,review Academy of Chinese Culture and Health Sciences california,hoc phi Academy of Chinese Culture and Health Sciences 2026,"Academy of Chinese Culture and Health Sciences review 2026: hoc phi, dieu kien, OPEID",Review Academy of Chinese Culture and Health Sciences o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Academy of Chinese Culture and Health Sciences tai Oakland, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
384306,Acupuncture and Integrative Medicine College-Berkeley,AIMC Berkeley,Berkeley,Alameda County,CA,94704,2,Private nonprofit,2,1,4-year,12,City: Midsize,https://www.aimc.edu/,https://www.aimc.edu/aimc-prospective-students,https://www.aimc.edu/financial-aid,https://www.aimc.edu/financial-aid,https://www.aimc.edu/how-to-apply,03327400,03327400,033274,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,acupuncture-and-integrative-medicine-college-berkeley-berkeley-california,review Acupuncture and Integrative Medicine College-Berkeley california,hoc phi Acupuncture and Integrative Medicine College-Berkeley 2026,"Acupuncture and Integrative Medicine College-Berkeley review 2026: hoc phi, dieu kien, OPEID",Review Acupuncture and Integrative Medicine College-Berkeley o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Acupuncture and Integrative Medicine College-Berkeley tai Berkeley, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
496399,Agape College of Business and Science,,Fresno,Fresno County,CA,93721-1827,2,Private nonprofit,2,1,4-year,11,City: Large,https://www.acbscollege.org/,,,https://www.acbscollege.org/net-price-calculator,,04292900,04292900,042929,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,agape-college-of-business-and-science-fresno-california,review Agape College of Business and Science california,hoc phi Agape College of Business and Science 2026,"Agape College of Business and Science review 2026: hoc phi, dieu kien, OPEID",Review Agape College of Business and Science o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Agape College of Business and Science tai Fresno, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
495192,Alder Graduate School of Education,,Redwood City,San Mateo County,CA,94062,2,Private nonprofit,2,1,4-year,13,City: Small,https://aldergse.edu/,https://aldergse.edu/admissions/admissions-process/,https://aldergse.edu/financial-supports/,https://aldergse.edu/admissions/program-costs/,https://aldergse.edu/apply/,04287000,04287000,042870,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,alder-graduate-school-of-education-redwood-city-california,review Alder Graduate School of Education california,hoc phi Alder Graduate School of Education 2026,"Alder Graduate School of Education review 2026: hoc phi, dieu kien, OPEID",Review Alder Graduate School of Education o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Alder Graduate School of Education tai Redwood City, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
487995,Alhambra Medical University,Fen Wu University of Alternative Medicine,Alhambra,Los Angeles County,CA,91803,3,Private for-profit,3,1,4-year,21,Suburb: Large,www.amu.edu/,https://amu.edu/admissions/,www.amu.edu/financial-aid,www.amu.edu/tuition-fees,www.amu.edu/admissions,04243100,04243100,042431,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,alhambra-medical-university-alhambra-california,review Alhambra Medical University california,hoc phi Alhambra Medical University 2026,"Alhambra Medical University review 2026: hoc phi, dieu kien, OPEID",Review Alhambra Medical University o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Alhambra Medical University tai Alhambra, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
108807,Allan Hancock College,,Santa Maria,Santa Barbara County,CA,93454-6399,1,Public,4,2,2-year,12,City: Midsize,www.hancockcollege.edu/,www.hancockcollege.edu/admissions/index.php,www.hancockcollege.edu/finaid/index.php,https://misweb.cccco.edu/npc/611/npcalc.htm,www.hancockcollege.edu/apply/cccapply.php,00111100,00111100,001111,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,allan-hancock-college-santa-maria-california,review Allan Hancock College california,hoc phi Allan Hancock College 2026,"Allan Hancock College review 2026: hoc phi, dieu kien, OPEID",Review Allan Hancock College o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Allan Hancock College tai Santa Maria, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
